,id,ico_id,ico_symbol,date,open,close,low,high,created_at,updated_at,volume,btc_open,btc_close,btc_low,btc_high,value_from_coinmarketcap,currency
51146,3136984,3306,ETH,2019-03-26 00:00:00,136.1000061035,133.9600067139,131.8200073242,136.8800048828,2019-11-21 12:03:44,2019-11-21 12:03:44,922393.875,,,,,0,USD
51147,3136985,3306,ETH,2019-03-27 00:00:00,133.7899932861,134.1399993896,132.2599945068,134.8999938965,2019-11-21 12:03:44,2019-11-21 12:03:44,790997.6875,,,,,0,USD
51148,3136986,3306,ETH,2019-03-28 00:00:00,134.3000030518,139.3699951172,133.6999969482,140.0,2019-11-21 12:03:44,2019-11-21 12:03:44,995866.875,,,,,0,USD
51149,3136987,3306,ETH,2019-03-29 00:00:00,139.3899993896,137.9100036621,137.2200012207,139.4299926758,2019-11-21 12:03:44,2019-11-21 12:03:44,428562.0625,,,,,0,USD
51150,3136988,3306,ETH,2019-03-30 00:00:00,137.8699951172,143.1999969482,137.6399993896,143.5800018311,2019-11-21 12:03:44,2019-11-21 12:03:44,505040.25,,,,,0,USD
51151,3136989,3306,ETH,2019-03-31 00:00:00,143.3000030518,142.4400024414,140.0200042725,145.8600006104,2019-11-21 12:03:44,2019-11-21 12:03:44,543936.25,,,,,0,USD
51152,3136990,3306,ETH,2019-04-01 00:00:00,142.4100036621,141.4799957275,140.4400024414,142.5,2019-11-21 12:03:44,2019-11-21 12:03:44,395321.65625,,,,,0,USD
51153,3136991,3306,ETH,2019-04-02 00:00:00,141.4600067139,141.3000030518,139.5599975586,143.0500030518,2019-11-21 12:03:44,2019-11-21 12:03:44,520092.28125,,,,,0,USD
51154,3136992,3306,ETH,2019-04-03 00:00:00,141.3000030518,163.4499969482,141.0,165.6399993896,2019-11-21 12:03:44,2019-11-21 12:03:44,1166450.125,,,,,0,USD
51155,3136993,3306,ETH,2019-04-04 00:00:00,163.4499969482,159.9700012207,150.1199951172,177.5500030518,2019-11-21 12:03:44,2019-11-21 12:03:44,1326414.0,,,,,0,USD
51156,3136994,3306,ETH,2019-04-05 00:00:00,159.7100067139,157.3300018311,152.8699951172,163.9299926758,2019-11-21 12:03:44,2019-11-21 12:03:44,830844.6875,,,,,0,USD
51157,3136995,3306,ETH,2019-04-06 00:00:00,157.2299957275,164.8399963379,156.1499938965,167.6399993896,2019-11-21 12:03:44,2019-11-21 12:03:44,610383.1875,,,,,0,USD
51158,3136996,3306,ETH,2019-04-07 00:00:00,164.8300018311,165.5200042725,159.6199951172,172.6999969482,2019-11-21 12:03:44,2019-11-21 12:03:44,761689.8125,,,,,0,USD
51159,3136997,3306,ETH,2019-04-08 00:00:00,165.4400024414,174.2100067139,163.9700012207,175.25,2019-11-21 12:03:44,2019-11-21 12:03:44,796047.9375,,,,,0,USD
51160,3136998,3306,ETH,2019-04-09 00:00:00,174.25,178.7299957275,171.0200042725,185.8399963379,2019-11-21 12:03:44,2019-11-21 12:03:44,1041663.9375,,,,,0,USD
51161,3136999,3306,ETH,2019-04-10 00:00:00,178.7599945068,174.7299957275,158.2700042725,178.9100036621,2019-11-21 12:03:44,2019-11-21 12:03:44,549298.875,,,,,0,USD
51162,3137000,3306,ETH,2019-04-11 00:00:00,174.6300048828,177.1799926758,171.1399993896,183.2100067139,2019-11-21 12:03:44,2019-11-21 12:03:44,1358914.75,,,,,0,USD
51163,3137001,3306,ETH,2019-04-12 00:00:00,176.9700012207,164.0099945068,158.8099975586,177.4799957275,2019-11-21 12:03:44,2019-11-21 12:03:44,629040.875,,,,,0,USD
51164,3137002,3306,ETH,2019-04-13 00:00:00,164.0599975586,163.2100067139,158.1600036621,166.2200012207,2019-11-21 12:03:44,2019-11-21 12:03:44,484288.34375,,,,,0,USD
51165,3137003,3306,ETH,2019-04-14 00:00:00,163.1900024414,162.9600067139,161.0200042725,165.2100067139,2019-11-21 12:03:44,2019-11-21 12:03:44,368229.4375,,,,,0,USD
51166,3137004,3306,ETH,2019-04-15 00:00:00,162.9700012207,167.1499938965,161.1900024414,168.0200042725,2019-11-21 12:03:44,2019-11-21 12:03:44,414393.6875,,,,,0,USD
51167,3137005,3306,ETH,2019-04-16 00:00:00,167.2200012207,160.0500030518,155.7799987793,168.7200012207,2019-11-21 12:03:44,2019-11-21 12:03:44,558042.9375,,,,,0,USD
51168,3137006,3306,ETH,2019-04-17 00:00:00,159.9700012207,165.4299926758,159.4299926758,166.7100067139,2019-11-21 12:03:44,2019-11-21 12:03:44,334850.28125,,,,,0,USD
51169,3137007,3306,ETH,2019-04-18 00:00:00,165.4199981689,165.8000030518,163.9600067139,167.2299957275,2019-11-21 12:03:44,2019-11-21 12:03:44,630753.25,,,,,0,USD
51170,3137008,3306,ETH,2019-04-19 00:00:00,165.75,173.2799987793,165.1499938965,175.0,2019-11-21 12:03:44,2019-11-21 12:03:44,674606.375,,,,,0,USD
51171,3137009,3306,ETH,2019-04-20 00:00:00,173.2700042725,172.6300048828,168.7899932861,173.5299987793,2019-11-21 12:03:44,2019-11-21 12:03:44,634787.0,,,,,0,USD
51172,3137010,3306,ETH,2019-04-21 00:00:00,172.6100006104,172.8699951172,170.0,176.8300018311,2019-11-21 12:03:44,2019-11-21 12:03:44,498539.25,,,,,0,USD
51173,3137011,3306,ETH,2019-04-22 00:00:00,172.8399963379,168.6600036621,165.0200042725,173.4400024414,2019-11-21 12:03:44,2019-11-21 12:03:44,540251.9375,,,,,0,USD
51174,3137012,3306,ETH,2019-04-23 00:00:00,168.6399993896,170.5599975586,167.0500030518,172.1499938965,2019-11-21 12:03:44,2019-11-21 12:03:44,616342.25,,,,,0,USD
51175,3137013,3306,ETH,2019-04-24 00:00:00,170.5399932861,169.25,168.0599975586,175.6399993896,2019-11-21 12:03:44,2019-11-21 12:03:44,745571.8125,,,,,0,USD
51176,3137014,3306,ETH,2019-04-25 00:00:00,169.25,164.8099975586,159.2899932861,169.9299926758,2019-11-21 12:03:44,2019-11-21 12:03:44,682024.75,,,,,0,USD
51177,3137015,3306,ETH,2019-04-26 00:00:00,164.8399963379,154.7100067139,150.2200012207,165.4799957275,2019-11-21 12:03:44,2019-11-21 12:03:44,544260.1875,,,,,0,USD
51178,3137016,3306,ETH,2019-04-27 00:00:00,154.7200012207,157.8999938965,151.4900054932,162.4400024414,2019-11-21 12:03:44,2019-11-21 12:03:44,676707.4375,,,,,0,USD
51179,3137017,3306,ETH,2019-04-28 00:00:00,157.9100036621,159.25,156.3699951172,162.0,2019-11-21 12:03:44,2019-11-21 12:03:44,463990.34375,,,,,0,USD
51180,3137018,3306,ETH,2019-04-29 00:00:00,159.2599945068,157.8800048828,157.0700073242,160.1799926758,2019-11-21 12:03:44,2019-11-21 12:03:44,400326.125,,,,,0,USD
51181,3137019,3306,ETH,2019-04-30 00:00:00,157.8800048828,155.0299987793,152.3000030518,159.0,2019-11-21 12:03:44,2019-11-21 12:03:44,481917.53125,,,,,0,USD
51182,3137020,3306,ETH,2019-05-01 00:00:00,155.0700073242,161.8200073242,155.0200042725,162.7799987793,2019-11-21 12:03:44,2019-11-21 12:03:44,555538.4375,,,,,0,USD
51183,3137021,3306,ETH,2019-05-02 00:00:00,161.7700042725,160.1900024414,158.5,163.8200073242,2019-11-21 12:03:44,2019-11-21 12:03:44,417964.25,,,,,0,USD
51184,3137022,3306,ETH,2019-05-03 00:00:00,160.2100067139,161.8699951172,158.6300048828,163.3000030518,2019-11-21 12:03:44,2019-11-21 12:03:44,522480.34375,,,,,0,USD
51185,3137023,3306,ETH,2019-05-04 00:00:00,161.8200073242,167.9799957275,161.0099945068,170.1999969482,2019-11-21 12:03:44,2019-11-21 12:03:44,692738.375,,,,,0,USD
51186,3137024,3306,ETH,2019-05-05 00:00:00,168.0200042725,163.6600036621,159.9299926758,171.2700042725,2019-11-21 12:03:44,2019-11-21 12:03:44,570659.0625,,,,,0,USD
51187,3137025,3306,ETH,2019-05-06 00:00:00,163.6699981689,162.9299926758,159.3000030518,165.2799987793,2019-11-21 12:03:44,2019-11-21 12:03:44,405891.65625,,,,,0,USD
51188,3137026,3306,ETH,2019-05-07 00:00:00,163.0,173.0399932861,159.3800048828,177.9100036621,2019-11-21 12:03:44,2019-11-21 12:03:44,758818.6875,,,,,0,USD
51189,3137027,3306,ETH,2019-05-08 00:00:00,172.9900054932,169.1300048828,168.6300048828,182.75,2019-11-21 12:03:44,2019-11-21 12:03:44,1007256.25,,,,,0,USD
51190,3137028,3306,ETH,2019-05-09 00:00:00,169.1300048828,170.8399963379,165.0,172.9799957275,2019-11-21 12:03:44,2019-11-21 12:03:44,554227.8125,,,,,0,USD
51191,3137029,3306,ETH,2019-05-10 00:00:00,170.8600006104,170.9799957275,166.7200012207,173.6399993896,2019-11-21 12:03:44,2019-11-21 12:03:44,539500.25,,,,,0,USD
51192,3137030,3306,ETH,2019-05-11 00:00:00,170.9799957275,172.8899993896,168.5599975586,176.1999969482,2019-11-21 12:03:44,2019-11-21 12:03:44,685151.625,,,,,0,USD
51193,3137031,3306,ETH,2019-05-12 00:00:00,172.8600006104,192.1900024414,172.8600006104,204.9799957275,2019-11-21 12:03:44,2019-11-21 12:03:44,1201392.625,,,,,0,USD
51194,3137032,3306,ETH,2019-05-13 00:00:00,192.1499938965,188.1399993896,182.7100067139,203.1100006104,2019-11-21 12:03:44,2019-11-21 12:03:44,1197391.5,,,,,0,USD
51195,3137033,3306,ETH,2019-05-14 00:00:00,188.1600036621,196.1499938965,185.5200042725,207.5899963379,2019-11-21 12:03:44,2019-11-21 12:03:44,984940.5,,,,,0,USD
51196,3137034,3306,ETH,2019-05-15 00:00:00,196.2200012207,217.6900024414,195.2899932861,220.5700073242,2019-11-21 12:03:44,2019-11-21 12:03:44,1217783.75,,,,,0,USD
51197,3137035,3306,ETH,2019-05-16 00:00:00,217.6799926758,248.2400054932,217.6399993896,250.1699981689,2019-11-21 12:03:44,2019-11-21 12:03:44,815467.1875,,,,,0,USD
51198,3137036,3306,ETH,2019-05-17 00:00:00,248.4299926758,264.3599853516,241.5299987793,279.5,2019-11-21 12:03:44,2019-11-21 12:03:44,1608231.125,,,,,0,USD
51199,3137037,3306,ETH,2019-05-18 00:00:00,264.3599853516,244.1600036621,224.25,268.3200073242,2019-11-21 12:03:44,2019-11-21 12:03:44,1057823.25,,,,,0,USD
51200,3137038,3306,ETH,2019-05-19 00:00:00,244.0399932861,233.6799926758,231.0099945068,248.0,2019-11-21 12:03:44,2019-11-21 12:03:44,501946.25,,,,,0,USD
51201,3137039,3306,ETH,2019-05-20 00:00:00,233.6799926758,259.6900024414,232.6600036621,264.0199890137,2019-11-21 12:03:44,2019-11-21 12:03:44,613440.8125,,,,,0,USD
51202,3137040,3306,ETH,2019-05-21 00:00:00,259.7200012207,250.3999938965,238.0700073242,259.7200012207,2019-11-21 12:03:44,2019-11-21 12:03:44,509581.4375,,,,,0,USD
51203,3137041,3306,ETH,2019-05-22 00:00:00,250.4499969482,253.5099945068,246.3999938965,261.8399963379,2019-11-21 12:03:44,2019-11-21 12:03:44,448332.9375,,,,,0,USD
51204,3137042,3306,ETH,2019-05-23 00:00:00,253.2599945068,243.7400054932,240.0700073242,259.8800048828,2019-11-21 12:03:45,2019-11-21 12:03:45,454045.03125,,,,,0,USD
51205,3137043,3306,ETH,2019-05-24 00:00:00,243.6399993896,244.6499938965,231.4199981689,247.3099975586,2019-11-21 12:03:45,2019-11-21 12:03:45,464543.40625,,,,,0,USD
51206,3137044,3306,ETH,2019-05-25 00:00:00,244.6000061035,248.8800048828,241.4600067139,254.25,2019-11-21 12:03:45,2019-11-21 12:03:45,371882.4375,,,,,0,USD
51207,3137045,3306,ETH,2019-05-26 00:00:00,248.7799987793,250.2400054932,247.2299957275,257.1799926758,2019-11-21 12:03:45,2019-11-21 12:03:45,275831.9375,,,,,0,USD
